"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","0","test2()","","Thu Feb 19 14:15:41 UTC 2026","passed","Thu Feb 19 14:15:41 UTC 2026","","SucsessTests","SucsessTests","test2"
"","3","test1()","","Thu Feb 19 14:15:41 UTC 2026","passed","Thu Feb 19 14:15:41 UTC 2026","","SucsessTests","SucsessTests","test1"
"","0","test2()","","Thu Feb 19 14:15:41 UTC 2026","skipped","Thu Feb 19 14:15:41 UTC 2026","","SkippedTests","SkippedTests","test2"
"","58","test1()","","Thu Feb 19 14:15:41 UTC 2026","failed","Thu Feb 19 14:15:41 UTC 2026","","FailedTests","FailedTests","test1"
"","2","test3()","","Thu Feb 19 14:15:41 UTC 2026","failed","Thu Feb 19 14:15:41 UTC 2026","","FailedTests","FailedTests","test3"
"","1","test7()","","Thu Feb 19 14:15:41 UTC 2026","passed","Thu Feb 19 14:15:41 UTC 2026","","SucsessTests","SucsessTests","test7"
"","3","test5()","","Thu Feb 19 14:15:41 UTC 2026","failed","Thu Feb 19 14:15:41 UTC 2026","","FailedTests","FailedTests","test5"
"","2","test4()","","Thu Feb 19 14:15:41 UTC 2026","failed","Thu Feb 19 14:15:41 UTC 2026","","FailedTests","FailedTests","test4"
"","2","test6()","","Thu Feb 19 14:15:41 UTC 2026","passed","Thu Feb 19 14:15:41 UTC 2026","","SucsessTests","SucsessTests","test6"
"","1","test5()","","Thu Feb 19 14:15:41 UTC 2026","passed","Thu Feb 19 14:15:41 UTC 2026","","SucsessTests","SucsessTests","test5"
"","4","test2()","","Thu Feb 19 14:15:41 UTC 2026","failed","Thu Feb 19 14:15:41 UTC 2026","","FailedTests","FailedTests","test2"
"","1","test1()","","Thu Feb 19 14:15:41 UTC 2026","skipped","Thu Feb 19 14:15:41 UTC 2026","","SkippedTests","SkippedTests","test1"
"","0","test3()","","Thu Feb 19 14:15:41 UTC 2026","skipped","Thu Feb 19 14:15:41 UTC 2026","","SkippedTests","SkippedTests","test3"
"","1","test3()","","Thu Feb 19 14:15:41 UTC 2026","passed","Thu Feb 19 14:15:41 UTC 2026","","SucsessTests","SucsessTests","test3"
"","1","test4()","","Thu Feb 19 14:15:41 UTC 2026","passed","Thu Feb 19 14:15:41 UTC 2026","","SucsessTests","SucsessTests","test4"
"","1","test8()","","Thu Feb 19 14:15:41 UTC 2026","passed","Thu Feb 19 14:15:41 UTC 2026","","SucsessTests","SucsessTests","test8"
